net,length_um
_04951_,51.5
clknet_leaf_145_clk,51.18
clknet_leaf_52_clk,51
_04978_,50.9
_05740_,50.9
_05975_,50.88
REG\[7\]\[22\],50.55
_04965_,50.36
REG\[7\]\[23\],50.305
_04798_,50.04
ID_EX_NPC\[6\],49.94
_05849_,49.76
_05867_,49.7
clknet_leaf_182_clk,49.52
EX_MEM_ALUOUT\[6\],49.44
_05474_,49.42
_01882_,49.385
_01919_,49.2
_05223_,49.04
net132,48.885
_03219_,48.76
_05414_,48.66
net210,48.64
_01801_,48.44
ID_EX_A\[9\],48.36
_05148_,48.36
_05812_,48.36
clknet_leaf_50_clk,48.24
MEM_WB_ALUOUT\[15\],48.22
REG\[8\]\[18\],48.185
_03238_,48.12
_05318_,47.7
_05347_,47.66
_05521_,47.66
_05891_,47.52
ID_EX_A\[6\],47.5
clknet_leaf_21_clk,47.5
_04473_,47.425
net152,47.34
clknet_leaf_43_clk,47.32
_03202_,47.3
_05311_,47.26
clknet_leaf_98_clk,47.26
clknet_leaf_161_clk,47.08
net1312,46.98
REG\[10\]\[23\],46.825
ID_EX_NPC\[2\],46.72
ID_EX_IMMEDIATE\[0\],46.62
_02488_,46.37
net178,46.34
ID_EX_NPC\[29\],46.32
_01798_,46.25
clknet_leaf_133_clk,46.24
_03104_,46.18
_03182_,46.14
_03163_,46
_05815_,46
_05813_,45.78
_04850_,45.695
MEM_WB_ALUOUT\[10\],45.62
_01774_,45.5
clknet_leaf_8_clk,45.43
_03125_,45.3
_01834_,45.29
EX_MEM_IR\[13\],45.18
EX_MEM_IR\[0\],45.12
_03236_,44.86
_05554_,44.74
REG\[7\]\[29\],44.72
_05478_,44.6
_05833_,44.6
_04761_,44.48
_03140_,44.22
MEM_WB_LDM\[13\],44.14
clknet_leaf_165_clk,44.14
ID_EX_A\[7\],44.12
ID_EX_A\[17\],44.04
_01562_,43.99
_05323_,43.82
_03142_,43.8
_05264_,43.68
_05379_,43.66
_03123_,43.54
_05798_,43.18
clknet_leaf_102_clk,43.08
_04454_,42.9
_05979_,42.9
_05481_,42.865
_05973_,42.845
_04589_,42.76
_05442_,42.62
_05133_,42.6
_03257_,42.46
_04806_,42.39
_04786_,42.32
_05524_,42.3
net1297,42.3
_05799_,42.2
_04940_,42.18
_03180_,42.14
_04477_,42.12
_04823_,42
ID_EX_IR\[15\],41.99
_04658_,41.98
_05044_,41.96
_05978_,41.94
_04809_,41.89
_05007_,41.8
ID_EX_IMMEDIATE\[1\],41.74
net150,41.74
clknet_leaf_109_clk,41.68
_01847_,41.6
_03591_,41.58
_04970_,41.54
clknet_leaf_175_clk,41.48
net125,41.385
_05909_,41.32
_03160_,41.22
clknet_leaf_123_clk,41.2
_03112_,41.16
_05497_,41.13
_05693_,41.085
_05865_,41.08
ID_EX_NPC\[26\],41.04
_01887_,41.04
_05744_,40.82
_05204_,40.66
REG\[10\]\[20\],40.585
net1301,40.56
_05356_,40.52
_05612_,40.5
REG\[7\]\[7\],40.425
_05135_,40.4
EX_MEM_ALUOUT\[8\],40.34
REG\[7\]\[30\],40.34
_04844_,40.31
_03275_,40.3
_03273_,40.24
_05910_,40.2
REG\[12\]\[2\],40.12
_04952_,40.06
net160,40.04
net136,39.865
_05968_,39.66
_05440_,39.595
_05449_,39.54
REG\[7\]\[26\],39.505
ID_EX_NPC\[13\],39.36
_03200_,39.34
_03221_,39.32
_05239_,39.3
_05447_,39.24
_02139_,39.22
net56,39.16
_03354_,39.09
_04796_,38.82
_05965_,38.74
_05173_,38.6
REG\[14\]\[18\],38.56
_05522_,38.48
_01563_,38.47
_05010_,38.36
REG\[13\]\[28\],38.335
MEM_WB_IR\[7\],38.28
_04243_,38.26
_03280_,38.13
_05556_,38.12
_04824_,38.1
_03325_,38.08
_04557_,38
_04987_,37.96
_05436_,37.84
REG\[14\]\[17\],37.82
_05494_,37.7
_05350_,37.64
_04591_,37.6
REG\[7\]\[16\],37.5
_01556_,37.46
_04797_,37.46
_05495_,37.42
_04800_,37.38
REG\[9\]\[2\],37.34
REG\[7\]\[21\],37.1
REG\[11\]\[20\],37.06
DM\[1\]\[11\],37
_05236_,36.98
REG\[7\]\[8\],36.965
_05132_,36.965
_04607_,36.94
_05299_,36.92
MEM_WB_ALUOUT\[14\],36.72
_04945_,36.72
REG\[15\]\[2\],36.7
_01569_,36.68
_01941_,36.66
_03535_,36.625
_04847_,36.585
REG\[7\]\[5\],36.58
_04820_,36.58
net124,36.525
_02146_,36.44
_05679_,36.44
REG\[10\]\[28\],36.42
REG\[7\]\[14\],36.34
_02073_,36.2
clknet_leaf_96_clk,36.2
clknet_leaf_68_clk,36.14
REG\[7\]\[24\],36.135
_01884_,35.96
_04836_,35.96
_05756_,35.96
_02064_,35.94
_05957_,35.76
_05485_,35.72
_05960_,35.695
_03542_,35.66
_04718_,35.54
_05490_,35.44
_05707_,35.425
MEM_WB_ALUOUT\[12\],35.4
_05172_,35.22
ID_EX_IR\[13\],35.18
REG\[9\]\[0\],35.08
net128,35.065
_05399_,35.02
_02035_,34.94
_04657_,34.86
_03106_,34.84
net104,34.825
_05116_,34.72
_05590_,34.72
_05047_,34.62
_05126_,34.605
_05606_,34.52
_05206_,34.48
_05288_,34.465
_05820_,34.38
_05959_,34.365
_04983_,34.36
_05861_,34.24
_05918_,34.24
_02125_,34.22
_04729_,34.14
_05357_,34.12
_05567_,34.04
_04521_,33.94
_05504_,33.9
_05886_,33.9
_02104_,33.86
_05720_,33.84
DM\[1\]\[27\],33.82
_05907_,33.82
_01993_,33.8
_04590_,33.8
clknet_leaf_112_clk,33.76
_04564_,33.64
_03198_,33.62
_01955_,33.58
_01586_,33.52
clknet_leaf_150_clk,33.48
_03581_,33.38
_05666_,33.38
EX_MEM_IR\[1\],33.36
_00004_,33.3
net93,33.165
_05228_,33.12
_02118_,33.08
_05063_,33.08
_05626_,33.08
_02049_,33
_03360_,32.96
_05439_,32.905
_05181_,32.9
_03127_,32.88
REG\[7\]\[3\],32.8
_02090_,32.8
_01948_,32.78
_04944_,32.76
_04977_,32.74
_03599_,32.73
REG\[7\]\[15\],32.72
EX_MEM_IR\[12\],32.64
REG\[7\]\[13\],32.635
ID_EX_NPC\[18\],32.61
_03187_,32.52
DM\[1\]\[19\],32.48
_05387_,32.4
_05913_,32.4
_04941_,32.38
_04774_,32.36
net137,32.265
DM\[29\]\[11\],32.26
MEM_WB_ALUOUT\[17\],32.24
ID_EX_NPC\[17\],32.2
ID_EX_NPC\[20\],32.16
REG\[9\]\[18\],32.115
net1295,32.08
_03631_,32
REG\[8\]\[0\],31.985
_05974_,31.94
_02152_,31.88
_04711_,31.82
_05404_,31.805
_04708_,31.76
_06012_,31.665
_01828_,31.66
_05192_,31.66
_05049_,31.64
_02097_,31.6
REG\[8\]\[17\],31.465
net1240,31.44
_05222_,31.42
_05287_,31.36
_05542_,31.34
_04915_,31.3
_05984_,31.24
net557,31.22
_01582_,31.155
DM\[28\]\[26\],31.14
_04815_,31.12
_05313_,31.1
net1203,31.08
net130,31.065
IF_ID_IR\[9\],31.02
_01969_,30.98
REG\[15\]\[17\],30.96
_02014_,30.92
_05983_,30.86
_02132_,30.8
_01738_,30.78
_03403_,30.78
_03314_,30.76
_04966_,30.74
_05912_,30.72
_03485_,30.66
_05088_,30.66
_05203_,30.58
_05384_,30.565
_03419_,30.54
_03457_,30.52
_05985_,30.46
_05115_,30.44
_01835_,30.38
_01679_,30.34
_01792_,30.32
_03177_,30.22
_05381_,30.16
_05816_,30.12
_03466_,30.1
_03519_,30.1
_03511_,29.96
_00016_,29.94
_03232_,29.94
REG\[7\]\[4\],29.92
_04984_,29.92
_03448_,29.86
_05037_,29.86
_03527_,29.84
_05091_,29.84
_04997_,29.8
_05448_,29.76
_03551_,29.72
_01976_,29.7
DM\[1\]\[26\],29.64
_04563_,29.62
DM\[20\]\[1\],29.6
_03271_,29.5
_05771_,29.47
_04476_,29.44
DM\[30\]\[20\],29.43
_03639_,29.42
_04932_,29.32
DM\[1\]\[31\],29.2
_03456_,29.2
_05431_,29.2
_02083_,29.18
_02111_,29.18
_03262_,29.18
_05058_,29.16
_03285_,29.14
_05929_,29.12
_04864_,29.095
net786,29.04
ID_EX_NPC\[19\],28.94
REG\[8\]\[16\],28.94
_03374_,28.94
_05254_,28.93
DM\[1\]\[10\],28.875
_05340_,28.86
_05583_,28.86
_05685_,28.86
_01817_,28.82
_04828_,28.82
REG\[7\]\[20\],28.8
_03384_,28.78
_05048_,28.78
ID_EX_NPC\[8\],28.74
_01852_,28.74
_01934_,28.72
_05848_,28.67
DM\[12\]\[25\],28.66
REG\[8\]\[1\],28.565
REG\[13\]\[25\],28.545
ID_EX_NPC\[1\],28.48
_03439_,28.48
REG\[10\]\[25\],28.46
REG\[7\]\[6\],28.46
_03297_,28.4
DM\[28\]\[2\],28.38
_01865_,28.375
DM\[13\]\[0\],28.36
IF_ID_IR\[1\],28.32
REG\[9\]\[17\],28.32
_04803_,28.32
_05317_,28.28
_03167_,28.26
_05557_,28.26
_02003_,28.24
_05027_,28.24
_01962_,28.14
_02056_,28.14
_05429_,28.14
DM\[28\]\[28\],28.12
REG\[12\]\[0\],28.12
REG\[9\]\[26\],28.12
_04899_,28.12
_00000_,28.1
REG\[13\]\[10\],28.06
_04937_,28.04
_05733_,28.04
DM\[28\]\[11\],28.02
_04668_,27.955
IF_ID_IR\[17\],27.94
_03503_,27.94
_05421_,27.92
DM\[28\]\[12\],27.9
clknet_leaf_0_clk,27.9
_01827_,27.88
_03380_,27.8
_03420_,27.8
_05372_,27.8
_03494_,27.78
_05480_,27.68
_05773_,27.68
_03543_,27.66
_02339_,27.64
REG\[7\]\[31\],27.62
REG\[13\]\[20\],27.595
DM\[1\]\[29\],27.5
_01576_,27.48
_05375_,27.47
_05561_,27.46
DM\[1\]\[17\],27.44
_03510_,27.42
_05154_,27.36
_03647_,27.34
_05576_,27.34
REG\[10\]\[17\],27.335
_03655_,27.32
_05845_,27.28
_04688_,27.24
_05134_,27.2
REG\[13\]\[0\],27.185
DM\[12\]\[15\],27.16
_05945_,27.14
_03225_,27.1
_03393_,27.1
_05502_,27.1
DM\[21\]\[2\],27
_03299_,27
_05051_,26.96
_05413_,26.9
_01805_,26.88
_03623_,26.88
MEM_WB_IR\[8\],26.875
REG\[7\]\[9\],26.855
_01832_,26.78
_03559_,26.78
DM\[21\]\[13\],26.76
DM\[29\]\[12\],26.72
_01909_,26.72
_01583_,26.68
DM\[20\]\[6\],26.64
_03234_,26.64
_03411_,26.64
_04825_,26.62
DM\[29\]\[3\],26.42
ID_EX_NPC\[23\],26.4
_04789_,26.36
_05982_,26.36
_05168_,26.32
net139,26.305
_03352_,26.3
ID_EX_NPC\[15\],26.28
_05802_,26.26
DM\[1\]\[9\],26.22
_04993_,26.22
_03243_,26.2
_01814_,26.18
_03341_,26.18
_01672_,26.1
_04877_,26.06
ID_EX_IR\[17\],26.02
_01803_,26.02
DM\[25\]\[20\],26
_05144_,26
_05487_,26
DM\[10\]\[26\],25.99
DM\[25\]\[27\],25.94
_03583_,25.94
_04896_,25.9
_05915_,25.9
REG\[10\]\[27\],25.86
_03207_,25.86
_03317_,25.86
_03343_,25.86
ID_EX_NPC\[7\],25.8
_01786_,25.78
_02025_,25.78
_04670_,25.78
_05401_,25.76
_03607_,25.72
_03984_,25.72
DM\[6\]\[19\],25.705
DM\[0\]\[20\],25.66
DM\[28\]\[8\],25.62
_03324_,25.62
_03334_,25.62
net88,25.565
clknet_leaf_135_clk,25.5
REG\[15\]\[7\],25.44
_04971_,25.44
net34,25.44
DM\[17\]\[26\],25.42
_04485_,25.4
_05214_,25.38
_05202_,25.34
_01843_,25.32
DM\[1\]\[15\],25.3
REG\[8\]\[7\],25.285
_01663_,25.28
_05579_,25.28
_05657_,25.265
REG\[14\]\[0\],25.26
DM\[1\]\[25\],25.2
_03574_,25.2
_04603_,25.195
REG\[7\]\[10\],25.18
IF_ID_IR\[7\],25.16
_03121_,25.14
_03507_,25.08
DM\[10\]\[16\],25.065
_03322_,25.06
_03429_,25.06
_05147_,25.02
_05958_,25.02
REG\[14\]\[16\],24.98
DM\[6\]\[21\],24.97
REG\[12\]\[24\],24.94
_03138_,24.94
_03308_,24.92
_05366_,24.92
_05544_,24.92
DM\[5\]\[0\],24.9
_04996_,24.9
_05467_,24.88
_05956_,24.84
DM\[12\]\[24\],24.72
_03253_,24.7
_03567_,24.7
_03130_,24.68
_05842_,24.66
DM\[21\]\[31\],24.62
REG\[15\]\[1\],24.62
_05067_,24.61
_00011_,24.6
_03434_,24.6
_04855_,24.6
DM\[26\]\[18\],24.585
DM\[1\]\[30\],24.58
_05127_,24.54
_05970_,24.52
DM\[25\]\[3\],24.5
_03619_,24.48
_05646_,24.48
_03223_,24.46
_04441_,24.46
DM\[20\]\[8\],24.4
_02669_,24.38
_04096_,24.38
DM\[10\]\[28\],24.345
_03081_,24.34
_05316_,24.32
DM\[1\]\[21\],24.3
_05543_,24.3
DM\[1\]\[8\],24.28
_01636_,24.26
_05560_,24.26
_05976_,24.26
DM\[1\]\[14\],24.22
DM\[1\]\[6\],24.16
_04833_,24.09
_05548_,24
_05786_,24
_05818_,23.98
_04548_,23.96
_05547_,23.92
DM\[24\]\[21\],23.86
_05219_,23.86
DM\[28\]\[24\],23.84
_01764_,23.84
DM\[24\]\[9\],23.82
REG\[15\]\[29\],23.82
_03157_,23.8
DM\[21\]\[15\],23.78
_02021_,23.76
DM\[8\]\[24\],23.75
_03446_,23.74
DM\[1\]\[3\],23.72
DM\[24\]\[23\],23.72
_02032_,23.7
_03072_,23.68
_05453_,23.68
DM\[18\]\[10\],23.67
_05964_,23.64
DM\[1\]\[23\],23.62
DM\[1\]\[5\],23.6
DM\[24\]\[31\],23.6
_01707_,23.6
REG\[9\]\[13\],23.59
_04921_,23.58
DM\[14\]\[8\],23.565
MEM_WB_LDM\[30\],23.56
_03475_,23.56
_05106_,23.56
DM\[6\]\[6\],23.51
_03099_,23.44
_03371_,23.44
DM\[6\]\[30\],23.425
_03526_,23.42
_05355_,23.42
REG\[9\]\[1\],23.38
_01567_,23.38
_01671_,23.38
_05438_,23.38
_03217_,23.34
_05034_,23.34
EX_MEM_ALUOUT\[31\],23.32
_01668_,23.3
_03645_,23.3
_05971_,23.3
DM\[1\]\[12\],23.28
REG\[11\]\[25\],23.26
DM\[1\]\[4\],23.24
_03453_,23.24
_05486_,23.24
DM\[12\]\[30\],23.22
_03277_,23.22
_03533_,23.22
_05128_,23.22
_03651_,23.2
_04790_,23.16
_05123_,23.16
_03577_,23.14
DM\[28\]\[16\],23.12
_03144_,23.08
DM\[23\]\[22\],23.06
REG\[9\]\[16\],23.06
_03437_,23.06
DM\[16\]\[0\],23.04
_00015_,23.02
DM\[9\]\[26\],23
DM\[12\]\[10\],22.99
_05470_,22.98
_05535_,22.98
_04491_,22.96
_05517_,22.96
REG\[12\]\[28\],22.94
REG\[15\]\[25\],22.94
_01699_,22.94
_05728_,22.94
DM\[1\]\[1\],22.9
DM\[28\]\[14\],22.9
DM\[17\]\[14\],22.88
REG\[13\]\[27\],22.88
_03147_,22.88
_05199_,22.88
net142,22.88
_03153_,22.86
_04974_,22.86
_01915_,22.84
_05565_,22.84
_05782_,22.84
EX_MEM_IR\[14\],22.82
DM\[21\]\[5\],22.8
_01859_,22.8
_05922_,22.765
_04058_,22.76
net937,22.76
_03331_,22.74
_05629_,22.74
_05793_,22.74
_05969_,22.72
DM\[21\]\[7\],22.68
DM\[9\]\[27\],22.66
_01620_,22.66
EX_MEM_ALUOUT\[28\],22.62
_01713_,22.62
DM\[30\]\[26\],22.585
_01984_,22.58
DM\[18\]\[0\],22.545
DM\[28\]\[9\],22.54
REG\[9\]\[25\],22.54
DM\[28\]\[30\],22.52
DM\[28\]\[27\],22.51
DM\[23\]\[27\],22.5
_03545_,22.5
_04481_,22.5
_04947_,22.5
DM\[13\]\[13\],22.48
_05241_,22.48
DM\[6\]\[26\],22.445
DM\[17\]\[19\],22.44
_01840_,22.42
_04975_,22.42
DM\[26\]\[11\],22.405
DM\[17\]\[29\],22.4
_03165_,22.4
_05981_,22.4
_03613_,22.38
DM\[17\]\[12\],22.36
DM\[17\]\[13\],22.36
_04818_,22.36
_05620_,22.35
IF_ID_IR\[16\],22.34
DM\[10\]\[13\],22.315
DM\[23\]\[20\],22.3
DM\[28\]\[17\],22.3
MEM_WB_LDM\[7\],22.3
_04451_,22.3
_05263_,22.3
DM\[28\]\[19\],22.28
_04466_,22.28
DM\[14\]\[1\],22.265
net63,22.26
_03327_,22.24
DM\[4\]\[24\],22.22
_05605_,22.22
DM\[26\]\[28\],22.21
_05538_,22.18
DM\[22\]\[7\],22.165
REG\[9\]\[20\],22.16
REG\[15\]\[16\],22.14
DM\[28\]\[3\],22.12
DM\[31\]\[11\],22.12
_03399_,22.12
DM\[0\]\[30\],22.1
DM\[28\]\[1\],22.1
DM\[10\]\[6\],22.09
DM\[28\]\[20\],22.08
_05855_,22.08
REG\[7\]\[12\],22.06
_01701_,22.06
_04926_,22.06
_03391_,22.04
_03427_,22.04
REG\[10\]\[31\],22.02
DM\[12\]\[29\],21.94
_03615_,21.94
DM\[17\]\[22\],21.92
DM\[21\]\[10\],21.92
_03363_,21.92
_05658_,21.89
DM\[23\]\[15\],21.88
DM\[21\]\[25\],21.86
DM\[25\]\[25\],21.85
DM\[24\]\[18\],21.84
DM\[13\]\[26\],21.82
REG\[7\]\[11\],21.82
DM\[12\]\[14\],21.81
_02143_,21.78
_05749_,21.78
DM\[10\]\[3\],21.745
DM\[21\]\[27\],21.74
DM\[19\]\[12\],21.72
DM\[20\]\[12\],21.72
_04856_,21.72
DM\[18\]\[17\],21.71
_03134_,21.7
_05796_,21.68
DM\[24\]\[27\],21.66
DM\[28\]\[23\],21.66
REG\[10\]\[4\],21.66
_05878_,21.64
DM\[24\]\[25\],21.62
_04431_,21.62
DM\[30\]\[23\],21.605
_01886_,21.6
_03260_,21.6
DM\[16\]\[9\],21.58
DM\[30\]\[6\],21.565
DM\[21\]\[1\],21.56
_03629_,21.56
_03417_,21.54
_05412_,21.54
DM\[4\]\[19\],21.52
_03194_,21.52
_05033_,21.51
DM\[30\]\[27\],21.505
DM\[1\]\[7\],21.49
REG\[13\]\[26\],21.48
_03409_,21.48
DM\[17\]\[15\],21.46
_05270_,21.46
DM\[30\]\[18\],21.445
DM\[4\]\[0\],21.44
_05662_,21.44
DM\[26\]\[17\],21.425
ID_EX_NPC\[24\],21.42
REG\[10\]\[16\],21.415
DM\[21\]\[23\],21.4
DM\[4\]\[23\],21.4
net588,21.38
net114,21.34
net176,21.325
DM\[1\]\[16\],21.32
DM\[31\]\[22\],21.26
_05790_,21.26
DM\[10\]\[20\],21.245
ID_EX_IR\[16\],21.24
_05838_,21.24
DM\[20\]\[19\],21.22
DM\[28\]\[18\],21.22
_05457_,21.22
_05808_,21.2
DM\[30\]\[1\],21.195
DM\[1\]\[0\],21.18
REG\[9\]\[22\],21.18
REG\[12\]\[1\],21.16
_03205_,21.16
DM\[24\]\[17\],21.14
_04433_,21.14
_05980_,21.14
DM\[6\]\[28\],21.13
DM\[14\]\[31\],21.105
DM\[0\]\[12\],21.08
ID_EX_A\[1\],21.06
_03382_,21.04
_05972_,21.02
DM\[2\]\[22\],21.005
DM\[6\]\[24\],21.005
net185,21
DM\[17\]\[10\],20.98
DM\[17\]\[18\],20.96
_01648_,20.96
DM\[9\]\[12\],20.94
_01624_,20.94
DM\[17\]\[31\],20.88
DM\[28\]\[5\],20.88
DM\[3\]\[11\],20.88
REG\[8\]\[28\],20.88
_01708_,20.88
_05272_,20.86
DM\[6\]\[29\],20.855
_01626_,20.84
_01726_,20.84
DM\[14\]\[7\],20.825
DM\[26\]\[21\],20.825
DM\[12\]\[18\],20.8
DM\[16\]\[23\],20.8
DM\[8\]\[17\],20.8
_02028_,20.8
_04597_,20.8
DM\[0\]\[26\],20.78
net166,20.76
REG\[10\]\[12\],20.735
DM\[14\]\[28\],20.705
DM\[6\]\[1\],20.705
REG\[13\]\[17\],20.695
DM\[1\]\[13\],20.68
DM\[21\]\[22\],20.68
_01711_,20.66
_04740_,20.66
DM\[30\]\[16\],20.645
DM\[17\]\[5\],20.64
DM\[1\]\[22\],20.64
DM\[1\]\[2\],20.64
DM\[21\]\[30\],20.64
DM\[28\]\[4\],20.64
DM\[9\]\[13\],20.64
DM\[12\]\[19\],20.62
DM\[9\]\[11\],20.62
_04923_,20.62
_00008_,20.615
_04872_,20.615
DM\[16\]\[17\],20.6
DM\[29\]\[15\],20.6
DM\[2\]\[6\],20.585
net164,20.585
DM\[25\]\[17\],20.58
MEM_WB_LDM\[24\],20.58
_03241_,20.58
DM\[25\]\[23\],20.56
DM\[27\]\[13\],20.56
DM\[4\]\[18\],20.56
REG\[12\]\[12\],20.54
_01841_,20.54
_05703_,20.525
DM\[6\]\[7\],20.505
DM\[6\]\[22\],20.5
_00006_,20.5
DM\[14\]\[27\],20.485
DM\[28\]\[0\],20.48
_01695_,20.44
_05892_,20.44
_05858_,20.43
DM\[14\]\[23\],20.425
DM\[21\]\[6\],20.42
REG\[13\]\[21\],20.405
DM\[24\]\[6\],20.4
_01616_,20.4
_02040_,20.4
_03593_,20.4
DM\[17\]\[1\],20.38
_01617_,20.38
DM\[25\]\[26\],20.36
DM\[13\]\[19\],20.34
DM\[19\]\[26\],20.34
DM\[10\]\[31\],20.325
_05297_,20.315
DM\[21\]\[20\],20.3
MEM_WB_LDM\[31\],20.3
_01632_,20.3
_05273_,20.3
REG\[9\]\[4\],20.295
_05955_,20.285
DM\[21\]\[14\],20.28
DM\[28\]\[7\],20.28
REG\[9\]\[27\],20.28
_05157_,20.28
net135,20.28
net126,20.265
_02800_,20.26
DM\[10\]\[5\],20.225
DM\[17\]\[21\],20.22
DM\[31\]\[27\],20.22
_04706_,20.2
DM\[28\]\[13\],20.18
DM\[25\]\[11\],20.16
DM\[8\]\[0\],20.16
REG\[11\]\[2\],20.145
DM\[25\]\[21\],20.14
net94,20.135
DM\[16\]\[26\],20.12
DM\[21\]\[3\],20.12
_04498_,20.08
REG\[15\]\[27\],20.06
_05633_,20.06
net168,20.025
_01627_,20.02
_05146_,20.02
_05259_,20
DM\[21\]\[26\],19.94
_01907_,19.94
DM\[16\]\[29\],19.92
DM\[1\]\[24\],19.92
DM\[18\]\[2\],19.825
_04905_,19.82
net115,19.805
net127,19.805
_01829_,19.78
DM\[8\]\[30\],19.75
REG\[15\]\[0\],19.74
REG\[9\]\[5\],19.74
_04435_,19.74
_05722_,19.74
DM\[11\]\[29\],19.73
DM\[0\]\[31\],19.72
DM\[11\]\[5\],19.72
DM\[21\]\[17\],19.72
DM\[24\]\[22\],19.72
DM\[28\]\[10\],19.72
DM\[21\]\[24\],19.7
_05338_,19.7
REG\[9\]\[9\],19.68
_03195_,19.68
DM\[8\]\[26\],19.66
REG\[12\]\[6\],19.66
_05234_,19.64
_05507_,19.64
_05139_,19.635
DM\[9\]\[17\],19.63
_01717_,19.62
REG\[9\]\[30\],19.6
_01702_,19.6
DM\[18\]\[24\],19.59
DM\[17\]\[20\],19.56
ID_EX_NPC\[25\],19.56
_01553_,19.56
DM\[26\]\[4\],19.55
ID_EX_NPC\[11\],19.54
_03455_,19.54
_05986_,19.54
DM\[16\]\[1\],19.48
net1176,19.46
_02815_,19.44
DM\[22\]\[11\],19.43
_05341_,19.42
DM\[10\]\[17\],19.41
DM\[10\]\[22\],19.405
REG\[14\]\[2\],19.4
_01714_,19.4
_03549_,19.4
_05289_,19.39
DM\[4\]\[28\],19.38
REG\[15\]\[19\],19.38
DM\[4\]\[16\],19.36
DM\[5\]\[22\],19.36
REG\[10\]\[10\],19.34
DM\[8\]\[18\],19.32
DM\[8\]\[22\],19.32
ID_EX_A\[18\],19.32
REG\[12\]\[31\],19.3
_03493_,19.28
_05675_,19.28
DM\[17\]\[3\],19.26
DM\[8\]\[1\],19.24
REG\[14\]\[26\],19.24
_01677_,19.24
_05787_,19.24
_04957_,19.22
DM\[20\]\[11\],19.2
_03606_,19.2
_04963_,19.2
_05508_,19.19
REG\[13\]\[22\],19.185
_02042_,19.18
_05578_,19.18
_05354_,19.15
DM\[12\]\[13\],19.14
DM\[24\]\[16\],19.14
_01705_,19.14
_05407_,19.14
_05753_,19.14
DM\[0\]\[27\],19.12
DM\[31\]\[12\],19.12
DM\[0\]\[13\],19.1
DM\[11\]\[1\],19.1
net138,19.1
REG\[10\]\[14\],19.085
_01851_,19.08
_03289_,19.08
_03344_,19.08
net120,19.065
_03603_,19.06
DM\[16\]\[27\],19.04
DM\[20\]\[3\],19.04
_03637_,19.04
_03654_,19.04
_05396_,19.04
_05084_,19.02
DM\[21\]\[19\],19
DM\[11\]\[25\],18.98
DM\[17\]\[16\],18.98
REG\[13\]\[14\],18.975
DM\[27\]\[29\],18.96
DM\[3\]\[26\],18.96
REG\[11\]\[1\],18.945
DM\[1\]\[28\],18.94
_03491_,18.92
net197,18.915
DM\[24\]\[20\],18.9
_02797_,18.9
DM\[30\]\[25\],18.895
REG\[10\]\[26\],18.88
_01658_,18.88
_05087_,18.88
DM\[22\]\[12\],18.865
DM\[12\]\[21\],18.86
REG\[9\]\[21\],18.86
_03184_,18.86
DM\[23\]\[26\],18.84
DM\[8\]\[4\],18.84
_01721_,18.82
_02265_,18.81
DM\[24\]\[12\],18.8
REG\[8\]\[4\],18.8
_01873_,18.78
_01981_,18.78
DM\[4\]\[26\],18.76
DM\[4\]\[9\],18.76
DM\[8\]\[19\],18.76
REG\[12\]\[21\],18.76
DM\[7\]\[5\],18.74
REG\[11\]\[16\],18.74
_03305_,18.74
DM\[29\]\[14\],18.72
_01689_,18.72
_03474_,18.72
_01073_,18.685
_05659_,18.685
DM\[20\]\[30\],18.68
DM\[0\]\[23\],18.66
DM\[16\]\[3\],18.66
DM\[23\]\[13\],18.66
DM\[25\]\[15\],18.66
DM\[28\]\[21\],18.66
REG\[8\]\[11\],18.66
_05540_,18.66
_05674_,18.66
DM\[8\]\[11\],18.64
DM\[23\]\[11\],18.62
IF_ID_IR\[8\],18.62
_00007_,18.62
_03401_,18.62
DM\[12\]\[26\],18.6
DM\[31\]\[16\],18.6
_03118_,18.6
REG\[14\]\[27\],18.59
DM\[1\]\[18\],18.58
REG\[8\]\[2\],18.565
_01606_,18.56
_03310_,18.56
DM\[7\]\[4\],18.54
_05073_,18.54
_05473_,18.54
DM\[30\]\[3\],18.525
DM\[6\]\[3\],18.525
DM\[20\]\[16\],18.52
DM\[0\]\[24\],18.5
DM\[29\]\[29\],18.5
_03636_,18.5
DM\[16\]\[2\],18.48
DM\[1\]\[20\],18.48
_01579_,18.48
net103,18.465
DM\[16\]\[4\],18.46
_05046_,18.46
_05531_,18.46
DM\[0\]\[19\],18.44
DM\[10\]\[21\],18.405
DM\[25\]\[0\],18.4
DM\[28\]\[31\],18.39
DM\[28\]\[6\],18.38
_01692_,18.38
_02094_,18.365
DM\[12\]\[31\],18.36
DM\[24\]\[29\],18.36
DM\[29\]\[26\],18.36
DM\[8\]\[10\],18.36
_03472_,18.36
_03565_,18.36
DM\[16\]\[15\],18.34
DM\[0\]\[10\],18.32
_01918_,18.32
_01622_,18.28
_05963_,18.28
DM\[15\]\[13\],18.26
_04837_,18.26
DM\[16\]\[22\],18.25
DM\[9\]\[4\],18.25
DM\[21\]\[21\],18.24
_04922_,18.23
DM\[4\]\[25\],18.22
_01863_,18.22
_03523_,18.22
net961,18.22
DM\[21\]\[4\],18.2
REG\[9\]\[8\],18.2
_05309_,18.2
DM\[12\]\[23\],18.18
_05962_,18.16
DM\[8\]\[13\],18.14
_04861_,18.14
DM\[14\]\[21\],18.125
